step,unique_count,entropy,top_freq
0,989,6.8895,5
1000,905,6.7175,23
2000,817,6.5506,17
3000,738,6.3857,16
4000,698,6.3187,20
5000,643,6.2309,14
6000,643,6.2397,12
7000,599,6.1148,19
8000,632,6.2286,19
9000,617,6.2036,14
10000,593,6.1354,18
11000,563,6.0479,17
12000,536,5.9991,14
13000,533,5.9474,21
14000,518,5.8935,18
15000,539,5.8913,26
16000,541,5.8615,27
17000,548,5.8640,24
18000,507,5.7458,31
19000,482,5.7132,26
20000,461,5.6243,32
21000,437,5.5385,39
22000,444,5.5955,34
23000,459,5.6817,26
24000,450,5.6283,27
25000,444,5.5949,27
26000,436,5.5707,32
27000,433,5.5799,35
28000,422,5.5280,37
29000,410,5.5300,37
30000,396,5.4804,32
31000,407,5.4685,28
32000,419,5.5434,28
33000,389,5.4572,31
34000,395,5.4165,37
35000,404,5.4375,38
36000,413,5.4844,41
37000,397,5.4355,28
38000,423,5.5529,31
39000,416,5.4817,30
40000,415,5.4622,32
41000,402,5.3881,42
42000,407,5.3860,44
43000,422,5.4558,40
44000,451,5.5779,42
45000,428,5.5531,33
46000,410,5.4805,36
47000,412,5.4828,30
48000,416,5.5142,39
49000,429,5.5344,44
50000,439,5.5413,49
51000,425,5.4966,35
52000,444,5.5111,48
53000,439,5.5795,47
54000,432,5.5836,30
55000,438,5.5496,35
56000,430,5.5165,40
57000,423,5.5270,36
58000,414,5.5450,31
59000,407,5.4952,34
60000,393,5.3733,47
61000,426,5.4863,39
62000,405,5.4658,34
63000,399,5.4401,40
64000,397,5.4633,41
65000,407,5.4600,33
66000,387,5.4521,33
67000,365,5.3137,46
68000,366,5.3475,38
69000,377,5.3744,35
70000,379,5.3786,35
71000,367,5.2831,41
72000,352,5.2624,39
73000,345,5.2771,39
74000,342,5.2698,35
75000,338,5.2607,31
76000,337,5.2236,31
77000,344,5.2502,30
78000,299,5.0963,39
79000,310,5.1005,38
80000,318,5.1594,37
81000,295,5.0144,35
82000,269,4.8841,35
83000,243,4.7719,40
84000,222,4.5925,46
85000,212,4.4638,56
